Code Insee,Code postal,latitude,longitude,nom commune,département,région,population 2015,population 2021
01130,01340,46.3130831891,5.17796707174,Cras-sur-Reyssouze,Ain,Auvergne-Rhône-Alpes,1431.0,2380.0
01133,01350,45.7826434885,5.76546256637,Cressin-Rochefort,Ain,Auvergne-Rhône-Alpes,389.0,389.0
01134,01290,46.283072336,4.87747971182,Crottet,Ain,Auvergne-Rhône-Alpes,1726.0,1818.0
01134,01750,46.283072336,4.87747971182,Crottet,Ain,Auvergne-Rhône-Alpes,1726.0,1818.0
01135,01170,46.2915659686,5.99510417092,Crozet,Ain,Auvergne-Rhône-Alpes,2115.0,2288.0
01136,01290,46.2220588715,4.8752193513,Cruzilles-lès-Mépillat,Ain,Auvergne-Rhône-Alpes,832.0,943.0
01138,01350,45.8559966843,5.78398308932,Culoz,Ain,Auvergne-Rhône-Alpes,3071.0,3426.0
01139,01560,46.4885456881,5.16344336837,Curciat-Dongalon,Ain,Auvergne-Rhône-Alpes,446.0,451.0
01140,01310,46.273150382,5.1020896267,Curtafond,Ain,Auvergne-Rhône-Alpes,771.0,784.0
01141,01300,45.8200002803,5.6765554896,Cuzieu,Ain,Auvergne-Rhône-Alpes,425.0,433.0
01142,01120,45.8531616918,5.07289166803,Dagneux,Ain,Auvergne-Rhône-Alpes,4573.0,4753.0
01143,01220,46.3756333495,6.1158647611,Divonne-les-Bains,Ain,Auvergne-Rhône-Alpes,9286.0,10137.0
01145,01240,46.0667883703,5.21665199666,Dompierre-sur-Veyle,Ain,Auvergne-Rhône-Alpes,1161.0,1207.0
01146,01400,46.1415406621,4.90141714714,Dompierre-sur-Chalaronne,Ain,Auvergne-Rhône-Alpes,429.0,437.0
01147,01270,46.4244066427,5.29313479651,Domsure,Ain,Auvergne-Rhône-Alpes,480.0,526.0
01148,01590,46.3133221173,5.64146584117,Dortan,Ain,Auvergne-Rhône-Alpes,1845.0,1953.0
01149,01500,45.984297392,5.37106901673,Douvres,Ain,Auvergne-Rhône-Alpes,1058.0,1094.0
01150,01250,46.2196603059,5.36799994918,Drom,Ain,Auvergne-Rhône-Alpes,219.0,215.0
01151,01160,46.067579544,5.29361666429,Druillat,Ain,Auvergne-Rhône-Alpes,1149.0,1139.0
01152,01130,46.2271364137,5.73330448395,Échallon,Ain,Auvergne-Rhône-Alpes,762.0,765.0
01153,01170,46.3160845207,6.01926187996,Échenevex,Ain,Auvergne-Rhône-Alpes,2212.0,2127.0
01155,01230,45.965147537,5.50283599885,Évosges,Ain,Auvergne-Rhône-Alpes,144.0,142.0
01156,01800,45.9104942091,5.1249258559,Faramans,Ain,Auvergne-Rhône-Alpes,797.0,877.0
01157,01480,46.020997974,4.7620080898,Fareins,Ain,Auvergne-Rhône-Alpes,2192.0,2431.0
